"id","user_id","date","total_questions","correct_count"
1,1,"2025-11-14 20:26:27",3,2
2,1,"2025-11-14 20:27:53",4,4
3,1,"2025-11-14 20:28:15",3,3
4,1,"2025-11-14 20:28:53",7,7
5,1,"2025-11-14 20:29:59",5,4
6,1,"2025-11-14 20:45:44",4,4
7,1,"2025-11-14 21:04:52",4,2
8,1,"2025-11-14 21:05:33",4,4
9,2,"2025-11-14 21:10:09",1,1
10,2,"2025-11-15 08:40:51",12,11
11,2,"2025-11-15 08:44:36",12,12
12,2,"2025-11-15 08:48:30",7,7
13,1,"2025-11-15 15:07:59",3,3
14,1,"2025-11-15 15:12:12",3,3
15,1,"2025-11-15 15:13:07",3,3
16,1,"2025-11-15 15:33:34",3,3
17,1,"2025-11-15 15:38:27",3,3
18,1,"2025-11-15 15:48:13",3,3
19,1,"2025-11-15 15:54:58",3,3
20,1,"2025-11-15 15:58:13",3,3
21,1,"2025-11-15 16:22:15",3,3
22,1,"2025-11-16 08:57:58",3,3
23,1,"2025-11-16 09:07:19",3,3
24,1,"2025-11-16 09:19:31",4,4
25,1,"2025-11-16 09:46:31",4,4
26,1,"2025-11-16 09:46:58",4,4
27,1,"2025-11-16 09:47:38",4,4
28,1,"2025-11-16 09:47:58",4,4
29,1,"2025-11-16 10:02:29",5,5
30,1,"2025-11-16 10:04:47",4,4
31,1,"2025-11-16 10:05:38",15,15
